subs,dorsal_ventral_occipital,dorsal_frontal_occipital,dorsal_occipital_occipital,ventral_dorsal_occipital,ventral_frontal_occipital,ventral_occipital_occipital,frontal_dorsal_occipital,frontal_ventral_occipital,frontal_occipital_occipital,occipital_dorsal_occipital,occipital_ventral_occipital,occipital_frontal_occipital,dorsal_ventral_frontal,dorsal_frontal_frontal,dorsal_occipital_frontal,ventral_dorsal_frontal,ventral_frontal_frontal,ventral_occipital_frontal,frontal_dorsal_frontal,frontal_ventral_frontal,frontal_occipital_frontal,occipital_dorsal_frontal,occipital_ventral_frontal,occipital_frontal_frontal
AC,0.023839326583280543,0.028331611650344552,0.010163059971072504,-0.013412464388281276,0.004014149938980312,0.008622884749245247,-0.02555412200779274,-0.0003651256396624195,0.012593013171184428,0.007711448983110827,0.011771171498675724,-0.007595717888384851,0.021940583761469477,0.040264207013591895,0.003674880416117989,-0.020271283870016338,0.012333958895862831,0.0011720398331429294,-0.02167844604346205,0.007438070781562347,0.016268784847978668,-0.00546005548748442,-0.0003718325249259655,-0.0030958176070004857
AM,-0.06283486953044427,0.04065050589089402,-0.03271215240983466,0.05972450148808225,0.02117487156810052,-0.013998195902279631,-0.040891055173631966,-0.019855144264471488,-0.004386162262388416,0.030016392552909024,0.026814974654440254,0.002680838731741654,-0.06406301592981362,0.093760406865155,-0.027428646492566097,0.0630122467345582,0.017735749021177923,-0.016518934272865313,0.0013813976459334319,-0.00160304949497837,0.004073493831910166,0.024421090472546387,0.016048186886958263,-0.022687347624816875
BB,0.04509672522816895,0.04079449461328466,-0.007848912875794083,-0.02020002301156798,-0.04003809759093694,-0.027278109375565525,-0.02725122306473978,0.06722780643358663,0.030252850589414213,0.06207239320014568,0.1259314048466313,0.017611885905646732,0.028804971339094647,0.02271661571628423,-0.05267861279376145,-0.016174073965118767,-0.019321445999785872,-0.08853573839225587,0.002370844058076182,0.06726454318822431,0.009404910817422906,0.06275532057030277,0.10157676600676986,0.038394323474813655
CM,0.025088078428715882,0.004190756668341306,-0.05460218166367902,0.0017499345647896097,-0.0063807943133800645,-0.017189799325682844,0.0026383335335084077,0.017931297010878474,0.00022137158136351006,0.10923273556199921,0.08317539200199715,0.012302813631202114,0.0030131033603665374,0.013734483308382273,-0.08564423495549542,-0.012675047783901534,-0.005920263457949856,-0.048287582027622775,0.006230739500783009,0.005502331161176601,-0.0012187683535754036,0.0833224345803947,0.039764805282031315,0.019359977131863788
CR,0.053013349903383335,-0.024975511477649953,0.03000298178188768,0.006902880757950692,-0.003246577481959664,0.01842330184923155,0.01684571359868044,-0.004469943214727512,0.01927358632558193,0.0991211856076339,0.10898373078899122,-0.02918956473409907,0.011908127977814983,-0.02818297233154204,-0.03355656523840474,-0.010221000557204684,-0.008099971850354253,-0.02377131001989072,0.03931073775321144,0.019386385444703304,0.03473586520501593,0.032291087805259716,0.02255265390249321,-0.041785572308631634
GG,0.00421419169194424,-0.021877013161113172,0.0012312820491277758,0.003794250001017214,-0.04388949702396518,-0.01112424750724879,0.02610049051663241,0.04726838212461538,0.03618742680803508,0.028234223997402018,0.03721195157782182,-0.03347511450849752,0.00036174826843402735,-0.017761019042473226,-0.010498725142884816,0.007017753683802873,-0.0296002122817667,-0.020998187990869922,0.045199538375266204,0.053458995747912075,0.03713327702287294,0.015872769202987472,0.021939050174404208,-0.014905319250055594
HA,0.06678062704718718,-9.969586775509377e-06,0.06936490692832167,0.016277679802467665,0.010253277084132026,-0.008944521953726194,0.03822699202757069,0.025645326009854853,0.010886638547116056,0.047345237928014504,0.11843505977574198,0.039724221687351714,0.02975658299156331,-0.003364156221500238,0.024480763211362222,-0.014145438051006433,0.008062062149345696,-0.05212575539167314,0.0262456685181954,0.009539016438510824,-0.00846416072966585,-0.0009261917863957439,0.06448880342730055,0.0341109783410884
IB,0.014760925351913631,0.01436648137461533,0.029416539958654897,0.02389149986246825,-0.002964396395197583,0.04604985182190649,-0.03393327724348766,-0.014851382041461424,-0.059076416407803096,0.0842468685956928,0.055840898074329216,0.029542341113515166,-0.0009318101879382913,0.01175865274519908,-0.03369628361126168,-0.004543402629944479,-0.002488841789267946,-0.014356682822953616,-0.012851559167738497,-0.002212291701633064,-0.024640481141757445,0.02972385584040361,0.013354456839229433,0.023517753777967495
JM,0.02154216006776473,-0.05011430775575957,0.024011584247044155,-0.022556680159771306,-0.03760487519080564,0.03184427515120614,0.035292664580493883,0.019249565251096595,0.006082167453265694,0.005222233079495158,0.005551982456963953,-0.015360212697948463,0.023018110361659083,-0.03326132967657349,0.0043353435170664974,-0.026190406099461248,-0.026640491232216675,0.005114976074750565,0.043585392746211093,0.029015376938714626,0.015374046755675797,-0.0035674636632313265,-0.006143091147730287,-0.0024826090815567516
JR,0.018772717123392194,0.03758000682839777,0.07414757765148662,-0.007167694920090379,-0.006279344364095197,0.041979548445997265,-0.03570930321358572,0.016671138082225603,0.06796458079426898,-0.03377803780861474,0.014953232155501735,-0.03167248270860884,0.019754256800921893,0.04167115642766354,0.0729366037242855,-0.008180859187001599,0.004923648833249079,0.030453325722119978,-0.027675265032283996,0.026577873662283123,0.06571861400018773,-0.06308973697861828,-0.022922457779687648,-0.04896135555038249
KK,0.07328121058682924,0.019289687952214734,0.026009367688446732,-0.05733670970116489,-0.012883967047075938,-0.043968688806532485,-0.02117085878230251,0.012465599960097384,0.05370603570453862,0.0012122848244187688,0.0845636083975017,-0.06069207500931862,0.06644182353594875,0.00773589860372297,0.011211459638961247,-0.06080198136606917,-0.0027448415885055876,-0.06850446244077298,-0.0016716704105146421,0.02702344144139479,0.06785161773317007,0.0003988720649458037,0.0657759705513371,-0.02591750693053946
KT,0.003290842906888751,-0.01929401057216046,0.03695416405829985,0.04001369163823803,0.026854986239738535,0.05292996298399435,0.013934542534001768,-0.03526285762011795,-0.030722790108498925,0.08361168383731735,0.09236152840211914,0.02449715132572298,-0.01794487624817496,-0.0030073269916405005,-0.02876192334574196,0.0203862839487153,0.04024136521183195,-0.013888208735024892,0.01676689426962803,-0.0183394705342839,-0.022266582550787416,0.02894737228878982,0.011855182932635945,0.026434825413439302
MC,0.05781890139823308,0.003020561957144093,0.08821716187592936,-0.03510612326992226,0.007209845584769417,0.0070491616266114745,-0.0032603047628959173,-0.004341792361751972,-0.00979140216800954,-0.06796320512538552,0.009661374222828412,0.009197264540698098,0.04271455721972242,-0.0020506396002448798,0.07447044300033025,-0.04489778827699795,0.002259430678200485,-0.004551515321384391,0.001162310796807388,-0.0015331293582149595,-0.0023961976711458625,-0.07603906197892218,0.0010265489139479633,0.004079439465828703
MH,0.12897945130141905,0.022014451322333498,0.068794465592201,-0.08885937922537457,-0.045367777094262485,0.0030356429632338077,0.004563469743009108,0.09650694526677775,0.015822497232661686,-0.023939938281379414,0.05251241607437037,0.03975993098585587,0.11621528870594672,0.04112252689861666,0.06443437310831594,-0.10915789802154353,-0.06302158228863561,-0.015726309803314194,0.005524063592725379,0.07481594379339877,0.0090913473679793,-0.0612044152832267,0.01890438484439166,0.002366192211063848
NF,0.02904114821567951,0.02099085419445173,0.027015747457257995,-0.01183353964477815,0.02301454229937443,0.0260244139195708,-0.023244124820381386,-0.024518990373677312,-0.03159516927327255,0.008057741412887495,0.014505930497986746,0.02373360594288838,0.019148956077998918,0.020858869921989712,0.008841249272602398,-0.019748873906933955,0.028455202045693382,0.004419094378134783,-0.01732665569695096,-0.013878535801635056,-0.02132673951677346,-0.0098632047723609,-0.00661272841338961,0.02520630823207468
SB,0.08730762302485578,0.03510265422159009,-0.09249980060886412,-0.09029490914733478,0.012859026586070054,-0.09748734857164687,-0.03355913263864139,-0.016096825726659904,0.057471683841574445,0.11613647830611125,0.08966278053253385,-0.04176676212411927,0.08868110986667467,0.030039594451796884,-0.11412443065519975,-0.08896623837238972,0.022609101456324093,-0.09785974194452178,-0.01875403217028051,-0.008540840041423019,0.04788579789617718,0.11710526553365719,0.10173855119179342,-0.03268586044603924
SG,0.02519320388200162,-0.021070360262379764,0.023075283890785666,-0.017490189912846118,0.0016587765788131114,-0.011571682051144495,0.021231780100588783,0.003094277643067934,-0.007894957436287703,0.007027195876200682,0.07434835393674528,0.008610458975789492,0.03053106163608912,-0.028897764087855923,0.020167007916837433,-0.030302804211690765,0.016944465671607966,-0.03719896475389682,0.02394921112597344,0.004217244930539423,-0.006623831564559368,-0.027449077793568512,0.033153156895216626,0.020451779953467746
SOG,0.05860141708976976,0.03817519962230847,0.0516889998973663,-0.031606438304981874,-0.007460910923626881,0.021368515509769922,-0.03155525441772586,0.011665014890156455,0.03159712207368782,-0.02626041236987529,0.018509474015340605,-0.029946293850576903,0.04853141900365173,0.03754127412305166,0.04521732130832967,-0.0445890182418365,0.004228467937434308,0.0044011976255387015,-0.01666122843665765,0.030618190310008106,0.050287718910359935,-0.0424339577125118,0.0012941314892401501,-0.022316068386045478
TL,0.03838123242532538,0.0103042577515411,0.021691144086148584,-0.005452371725406158,-0.011355852625631067,0.013578103793282711,0.0037600216556709395,0.024776927729607986,0.01894394892884409,0.04718441684139265,0.04100853857658997,-0.004514104146674332,0.020604237141260882,0.004306527102840969,-0.01229575942059474,-0.02786678154173365,-0.023332390370539698,-0.014650417398374844,0.017080653356731073,0.02143981983737897,0.020610890412746326,0.008036758408672046,0.00907688014172001,-0.02046143164604751
ZZ,0.010228950643152143,-0.013012483063686858,0.033300233531182645,0.036566052527201735,0.026459670125788367,0.0515757579043914,0.030219173416850268,0.006996989413333354,0.027441573893371627,0.03060052491211493,0.03971046746842434,0.014540641158665886,-0.0024733084705042827,-0.005426104738166393,0.021768604693450905,0.009874866797209357,0.021375313371960646,0.01669392300898208,0.028775709392317068,0.004004632872356966,0.022007667680494218,-0.012313312577698897,-0.014007128795088046,-0.0009581688453292829
